,Road Location,Count
1196,highway,4797
254,bedford hwy,1004
2136,robie st,710
2707,windmill rd,684
1995,portland st,676
2216,sackville dr,632
1132,hammonds plains rd,569
1178,herring cove rd,525
197,barrington st,507
2047,quinpool rd,505
1310,joseph howe dr,493
2397,st margarets bay rd,487
1585,main st,459
1386,lacewood dr,435
793,dunbrack st,396
125,armdale rot,393
213,bayers rd,349
503,chain lake dr,338
1438,larry uteck blvd,319
522,chebucto rd,318
1973,pleasant st,299
617,connaught ave,292
2718,windsor st,280
2589,victoria rd,274
1901,oxford st,266
235,beaver bank rd,265
589,cole harbour rd,249
2751,wright ave,248
2025,prospect rd,240
1804,north st,229
53,agricola st,209
1875,old sambro rd,207
60,akerley blvd,203
1061,gottingen st,202
1339,kearney lake rd,202
2755,wyse rd,200
447,caldwell rd,183
1580,main ave,180
579,cobequid rd,177
1743,mumford rd,175
2765,young st,174
425,brunswick st,171
437,burnside dr,163
804,dutch village rd,160
2635,waverley rd,158
21,a murray mackay brdg,157
2356,south st,154
2378,spring garden rd,153
959,forest hills pky,148
92,almon st,129
2351,south park st,129
2745,woodlawn rd,122
1933,peggys cove rd,120
2623,washmill lake dr,116
1392,lady hammond rd,115
1220,hollis st,110
1037,glendale dr,106
1912,parkland dr,106
2041,queen st,105
2740,woodland ave,105
2720,windsor st ramp,103
662,cow bay rd,101
785,duke st,101
1851,ochterloney st,100
1320,jubilee rd,98
77,alderney dr,97
70,albro lake rd,96
1872,old sackville rd,95
2225,sackville st,95
222,bayview rd,94
179,baker dr,90
1455,lawrencetown rd,83
2013,prince albert rd,82
1690,micmac blvd,82
2033,purcells cove rd,82
610,commodore dr,81
250,bedford byps,80
108,angus l macdonald brdg,80
1034,glendale ave,80
734,dentith rd,78
2561,university ave,78
1868,old guysborough rd,78
1191,highfield park dr,77
2686,willett st,77
1241,hwy,75
1346,kempt rd,74
715,dartmouth rd,73
1246,inglis st,72
654,countryview dr,72
1762,nantucket ave,70
2161,rocky lake dr,70
1584,main rd,69
1729,morris st,68
2571,upper water st,67
2019,prince st,67
1535,lucasville rd,65
582,cogswell st,64
2517,titus st,62
698,cunard st,61
273,bell blvd,60
580,coburg rd,59
1411,lakelands blvd,58
275,bell rd,57
645,cornwallis st,56
771,dresden row,56
1532,lower water st,55
2527,tower rd,54
1355,ketch harbour rd,53
2446,summer st,50
955,forest hills ext,49
1809,north west arm dr,49
2502,thistle st,48
2475,tacoma dr,45
1426,lancaster dr,45
892,fall river rd,42
709,damascus rd,42
370,braemar dr,41
2415,starboard dr,41
1889,osborne st,41
1736,mount hope ave,41
232,beaver bank conn,40
1734,mount edward rd,40
2705,windgate dr,39
449,caledonia rd,39
2012,primrose st,38
2616,walter havill dr,36
514,charles st,35
1628,massachusetts ave,34
251,bedford highway,33
740,devonshire ave,33
1714,montague rd,33
909,fenwick st,33
666,cowie hill rd,32
1798,north park st,32
1941,pepperell st,31
1926,peakview way,31
1700,millwood dr,31
935,flamingo dr,31
1070,grafton st,31
2576,valleyfield rd,31
2127,riverside dr,31
1828,novalea dr,30
1303,john savage ave,30
2461,susie lake cres,30
2010,preston st,29
1005,gary martin dr,29
1316,joseph zatzman dr,29
2699,willow st,29
1215,hogan crt,29
675,creighton st,29
2021,princess margaret blvd,29
1977,pockwock rd,28
782,duffus st,28
1637,maynard st,28
2670,westwood blvd,28
118,argyle st,28
1992,portland hills dr,27
2171,romans ave,27
2234,salter st,27
2024,prospect bay rd,27
2191,ross rd,27
624,connolly st,27
401,broad st,26
69,albert walker dr,26
1083,granville st,26
207,basinview dr,25
1703,mineville rd,25
930,first lake dr,25
895,farnham gate rd,25
2376,spring ave,25
381,brenton st,25
837,eisener blvd,25
313,birmingham st,25
1232,horseshoe lake dr,24
2305,shore rd,24
924,finlay dr,24
1007,gaston rd,24
1242,ilsley ave,23
2643,wellington st,23
1159,hawthorne st,23
1337,kaye st,23
2050,radcliffe dr,23
834,edward st,23
2657,west porters lake rd,22
1421,lamont terr,22
163,auburn dr,22
701,cutler ave,22
2697,williams lake rd,22
2764,young ave,21
317,bissett rd,21
2115,ridge valley rd,21
1705,moirs mill rd,21
886,fairfax dr,21
1606,maple st,20
1366,king st,20
1211,hines rd,20
2680,wilkinson ave,20
647,coronation ave,20
2208,russell st,20
268,beech st,19
775,drysdale rd,19
348,boland rd,19
595,college st,19
1253,innovation dr,19
121,arklow dr,19
1403,lake major rd,19
127,armdale rotary,19
570,clifton st,19
90,alma cres,19
1273,isleville st,19
1427,langbrae dr,19
1468,lemarchant st,18
1492,lincoln crss,18
2462,sussex st,18
947,flying cloud dr,18
84,allan st,18
